SUBJECT.NAME	GENDER	Family	GI_28482235.S	GI_38077305.S	ri_A730030G07_PX00150F19_AK042847_1206.S	ri_D630022O22_PX00197G01_AK085407_4084.S	scl0001009.1_2.S	scl0001967.1_19.S	scl000831.1_7.S	scl00329252.1_132.S	scl015061.6_43.S	scl0320856.1_4.S	scl0329251.1_121.S	scl0329252.1_122.S	scl16265.12.1_123.S	scl17444.7.1_197.S	scl17445.11.1_28.S	scl17448.26_107.S	scl21394.7_6.S	scl22460.17_298.S	scl33777.13.1_9.S
A048010273	F	G5.2:F5.1(2) G5.2:B5.1(4)	3.97671092664239	3.97270679218241	3.58117768810377	3.95844578846651	3.79459442410546	4.13220619694503	3.55337494396201	3.37553105829302	3.52517191197947	4.46079405542831	3.87056142422647	3.46705280314286	3.48966027287852	4.24314591388815	3.43871522174343	5.28705784894056	4.07850708342354	4.13320200061564	3.42584146237539
A048011040	M	G2.2:F1.1(7) G2.2:B4.1(5)	3.79810175422875	3.9168495457967	3.6633538245559	4.1074354918646	3.64243020085888	4.03247314843165	3.71967868731954	3.72108499907361	3.58674947395322	4.1649076152657	4.07143994335371	3.31442359826866	3.37543866144824	4.30348110344815	3.42556841945472	5.04097831591505	3.66881339079893	4.10580448733351	3.51177216779261
A048011287	M	B4.3:E5.2(3) B4.3:A1.2(3)	3.74476188297933	3.75048564078336	3.92941235955681	3.92702819988639	3.84801906661188	4.23588560419625	3.33797747951701	3.41708298430511	3.74476188297933	4.65913224859332	3.82496190361524	3.51765779134091	3.83180936645707	4.09828006972621	3.34077239752636	5.11513852102823	3.60869136364661	4.2338907155339	3.52184482676348
A048013559	F	C5.2:F3.1(5) C5.2:B5.1(4)	3.7970192962825	3.98796096088451	3.77009419389959	3.97320248525609	3.88635876253168	4.09471353992325	3.60933994389543	3.55501481921998	3.71490497146029	4.35753588826517	3.7812987044655	3.29832111107000	3.16960583852412	4.38541415522944	3.51525751424358	4.76242915714543	3.45021347107964	4.2994968685756	3.34838767268442
A048021023	M	H2.2:G3.1(3) H2.2:C3.1(4)	3.88260462916265	3.85791022378823	3.96210556395841	4.10057745328246	3.77860217309344	3.90372838382529	3.94952102377793	3.22890948914253	3.6535991700143	4.45408387937759	4.04111469416832	3.29008321017848	4.20137948136754	4.37386408776316	3.32104484059238	4.72875608222534	3.67726935436216	4.24970057843042	3.50867255254553
A048031794	F	D2.2:C5.1(4) D2.2:G5.1(4)	3.76731892812709	3.88913397858348	3.65622188890951	4.04171290525054	3.96729190934366	4.20275942398211	3.92100938983640	3.4128190380429	3.62530800713154	4.21033663762969	3.34648936154545	3.25264483488231	3.46019766153955	4.4441638997825	3.24837954683292	5.21814699982848	3.60259915533712	4.48046666715595	3.38581752021683
A048032099	M	C4.2:F3.1(5) C4.2:B5.1(4)	3.72487877160593	3.97725335915744	3.67643901727735	4.21007352712866	4.04935928344479	4.21353704972795	4.18419943230596	3.57093603785223	3.69744366275824	4.47358700378701	3.54634832147112	3.47145688468576	3.53404266938	4.33779965607227	3.50469375539414	5.6342868162787	3.61261546250683	4.13545012269734	3.31118592706953
A048035543	M	A5.2:H4.1(5) A5.2:D2.1(5)	3.87814137532744	3.95687474654747	3.81218670279407	4.08511776075829	3.95687474654747	4.186382717454	3.60638316314191	3.66545081381723	3.65934132769939	4.38062166208118	3.73635496550095	3.23910982591069	3.51372115570899	4.02229635630935	3.4099816495722	5.42968442266214	3.39255907904373	4.48284537291899	3.36820475492624
A048035776	F	E1.3:H1.2(3) E1.3:D1.2(3)	3.65636364838060	3.73489010783372	3.86664663702449	4.1724947259153	3.81642675560437	4.0945419050064	3.75303260539506	3.16546904407036	3.94353032364025	4.77248075801313	3.33241923467501	3.30662899657325	3.46458355915281	4.46074791881444	3.33723294380566	5.4149428508789	3.77132974041795	4.34890291946586	3.38494609478095
A048041606	F	D5.2:C3.1(4) D5.2:G1.1(6)	3.70172381098828	4.03433732219075	3.64418601521741	4.07100879724758	3.72486743012931	3.97169795731690	3.5431005314133	3.46804218503923	3.50299493782003	4.22868830750847	3.97974468306753	3.1176029936958	3.16299829833464	4.25050008119560	3.27696701270198	5.16300628329949	3.77180135900982	4.19965142426334	3.79358611406812
A048044830	F	A2.2:H5.1(4) A2.2:D1.1(4)	3.66868930716945	3.72245309627547	3.60856843568407	3.89662140376368	3.81745394788019	4.08630709758804	3.77363270982827	3.46808070818513	3.57949343064142	4.16855035696085	3.57809306360088	3.56462545733550	3.33522277959744	4.23072139546426	3.74206675260129	5.05681383287441	3.9684496497675	4.23202316278879	4.03168728018429
A048045845	M	E1.3:D1.2(3) E1.3:H1.2(3)	4.09020577550467	3.96221118667862	3.86681657522359	3.86796478994646	3.97002347111194	4.08412335654235	3.39728930199149	3.20347749778192	3.63347144325741	4.30067478769275	3.54597031598206	3.04400394265403	3.29713936737592	4.28750822168363	3.70082344585854	5.41155674500913	3.40262103319163	4.41771348695276	3.99409372386234
A048050833	M	A3.2:H4.1(5) A3.2:D2.1(5)	4.0877824289543	4.14623587740231	3.77632121443765	4.08947959038167	3.81237869105943	4.31230709941920	3.82258731358279	3.63982471729908	3.68460576187838	4.40700742857566	3.63870849556515	3.30214034310802	3.68702225066821	4.14531280273255	3.52541968439683	5.52080499330529	3.70199070085321	4.14420422742478	3.24264584836379
A048052595	M	A5.2:H4.1(5) A5.2:D2.1(5)	4.0391651170483	4.10650154860336	3.96896675625291	3.95442159033823	3.84151683470547	4.35785522698441	3.81945323505158	3.32183343555810	3.68639500043440	4.37415518300772	3.57255147923743	3.47739634783688	3.64669166851203	3.97119145244561	3.26005898898686	5.0848657930282	3.55354011695922	4.40350029300941	3.43747132983536
A048053821	F	D2.2:G5.1(4) D2.2:C5.1(4)	3.68861078764393	3.69909732674791	3.81462264728352	4.16990466403845	3.77613041248039	4.16274003636986	4.00999747978832	3.5479277303235	3.89556435330518	4.73457663281969	3.73539638359226	3.25153910783339	3.79280103677019	4.15790475479149	3.64275678778059	5.01379507271978	3.57874652376895	4.14166554986461	3.54425495691179
A048054885	F	F1.2:E2.1(5) F1.2:A1.1(4)	3.86672181676157	4.14608604610618	3.88220845698243	3.90397232579943	3.72732212518846	4.38003444579134	3.73369333534753	3.27570766595335	3.40150908920849	4.41399514574184	3.94504514997352	3.28728418224240	3.30610909751491	4.17647720523302	3.42103831414872	5.27264739961573	3.55148177794679	4.24540872241381	3.51298135165528
A048056786	F	B2.2:E1.1(6) B2.2:A2.1(5)	3.74639653712407	3.98678628580623	3.84054022899966	4.14251238130081	3.87237184644108	4.32393953546395	3.94458144850933	3.33685877863668	3.69453253132476	4.63516888126605	3.79672381600564	3.61618681902203	3.55598166373297	4.02500528619869	3.86800346771890	5.44497924307316	3.77011362262346	4.40997968854878	3.2213602258841
